codequipo,solicitante,ubicacion,municipio,provincia,lat,lon,tipoInstalacion
1003,Aeropuerto de Vigo,Aeroporto de Vigo,VIGO,PONTEVEDRA,42.2257,-8.6328,En aeropuertos o estaciones
1030,Protección Civil de Redondela,Protección Civil - Playa de Area Longa,REDONDELA,PONTEVEDRA,42.2644,-8.6768,Protección civil (no amb.)
1033,Piscina Municipal de Villagarcía,Piscina Municipal,VILAGARCIA DE AROUSA,PONTEVEDRA,42.584,-8.7749,En piscina pública
1034,Protección Civil de Redondela,Playa de Cesantes,REDONDELA,PONTEVEDRA,42.3097,-8.6233,Protección civil (no amb.)
1042,Pavillón Municipal de Deportes de Pontevedra,Pavillón Municipal de Deportes de Pontevedra,PONTEVEDRA,PONTEVEDRA,42.4366,-8.6415,En instalaciones deportivas
1043,Concello de Pontevedra,Pavillón Multiusos da Xunqueira de Pontevedra,PONTEVEDRA,PONTEVEDRA,42.4383,-8.6369,En instalaciones deportivas
1044,Campo de herba sintética Xunqueira 1 (Pontevedra),Campo de herba sintética Xunqueira 1 (Pontevedra),PONTEVEDRA,PONTEVEDRA,42.4395,-8.6354,En instalaciones deportivas
1075,Complexo Deportivo Rías do Sur,Complexo Deportivo Rías do Sur,PONTEVEDRA,PONTEVEDRA,42.4198,-8.6609,En instalaciones deportivas
1101,Balneario de Mondariz,Balneario de Mondariz,MONDARIZ - BALNEARIO,PONTEVEDRA,42.2272,-8.4658,Otros
1114,Concello de Vigo,Pabellón Municipal As Travesas,VIGO,PONTEVEDRA,42.2191,-8.7321,En instalaciones deportivas
1135,Lear Corporation Vigo,Lear Corporation Vigo,VIGO,PONTEVEDRA,42.1761,-8.7113,En empresa privada
1136,MCSYNCRO,Mcsyncro,VIGO,PONTEVEDRA,42.2284,-8.755,En empresa privada
1139,Centro Galego de Tecnificación Deportiva,Entrada Principal,PONTEVEDRA,PONTEVEDRA,42.4321,-8.6381,Otros
1140,Centro Galego de Tecnificación Deportiva,Pabellón de remo,PONTEVEDRA,PONTEVEDRA,42.4322,-8.6379,En instalaciones deportivas
1141,PC O Grove,Puesto de PC playa de A Lazanda,SANXENXO,PONTEVEDRA,42.4386,-8.8713,Protección civil (no amb.)
1146,Farmacia Herreros,Farmacia Herreros,PONTEVEDRA,PONTEVEDRA,42.4322,-8.6452,En empresa privada
1149,Cruz Roja Pontevedra,Praia Fortiñón,VIGO,PONTEVEDRA,42.1758,-8.8136,Cruz roja (no amb.)
1163,Concello de Tui,Centro Interfederado,TUI,PONTEVEDRA,42.0398,-8.6455,Otros
1164,Concello de Tui,Campo de fútbol Álvarez Durán,TUI,PONTEVEDRA,42.0568,-8.6693,En instalaciones deportivas
1197,Concello de Mos,Campo de fútbol Cototorrón,MOS,PONTEVEDRA,42.192,-8.6447,En instalaciones deportivas
1198,Concello de Mos,Campo de Fútbol de As Baloutas,MOS,PONTEVEDRA,42.189,-8.6215,En instalaciones deportivas
1199,Concello de Arbo,Campo de Fútbol Municipal,ARBO,PONTEVEDRA,42.1074,-8.3024,En instalaciones deportivas
1200,Concello de Tui,Campo de Fútbol de Ribadelouro,TUI,PONTEVEDRA,42.0936,-8.6499,En instalaciones deportivas
1208,Concello de Valga,Polideportivo Baño - Xanzo,VALGA,PONTEVEDRA,42.7052,-8.6533,En instalaciones deportivas
1209,Concello de Valga,Campo de Fútbol Baño,VALGA,PONTEVEDRA,42.7055,-8.6552,En instalaciones deportivas
1210,Concello de Valga,Auditorio Municipal de Valga,VALGA,PONTEVEDRA,42.6986,-8.6855,Protección civil (no amb.)
1212,Concello de Sanxenxo,Piscina Municipal,SANXENXO,PONTEVEDRA,42.3994,-8.8234,En piscina pública
1214,Concello de Pontecaldelas,Campo de Fútbol Chan da Barcia,PONTE-CALDELAS,PONTEVEDRA,42.3885,-8.4999,En instalaciones deportivas
1215,Concello de Barro,Campos de Fútbol do concello,BARRO,PONTEVEDRA,42.5481,-8.6286,En instalaciones deportivas
1216,Concello de Vilaboa,Campo de Fútbol Chan do Vilar,VILABOA,PONTEVEDRA,42.3809,-8.6399,En instalaciones deportivas
1217,Concello de Vilaboa,Campo de Fútbol O Cabalo,VILABOA,PONTEVEDRA,42.3301,-8.6431,En instalaciones deportivas
1218,Concello de Vilaboa,Campo de Fútbol San Adrián,VILABOA,PONTEVEDRA,42.3072,-8.6612,En instalaciones deportivas
1227,Concello de Marin,Pabellón da Raña (San Pedro s/n),MARIN,PONTEVEDRA,42.3841,-8.6973,En instalaciones deportivas
1228,Concello de Marin,Estadio Municipal de San Pedro,MARIN,PONTEVEDRA,42.3829,-8.6967,En instalaciones deportivas
1229,Concello de Marin,Pabellón de A Cañota,MARIN,PONTEVEDRA,42.3922,-8.6931,En instalaciones deportivas
1231,Concello de Lalín,Pabellón Municipal de Deportes (acceso a vestuarios),LALIN,PONTEVEDRA,42.6641,-8.108,En instalaciones deportivas
1232,Concello de Lalín,Complexo deportivo Lalín Arena (junto a sala de ejercicios),LALIN,PONTEVEDRA,42.6598,-8.1176,En piscina pública
1233,Concello de Lalín,Estadio Manuel Anxo Cortizo (entrada de vestuarios),LALIN,PONTEVEDRA,42.65,-8.1251,En instalaciones deportivas
1234,Deputación de Pontevedra,Museo de Pontevedra,PONTEVEDRA,PONTEVEDRA,42.4322,-8.6432,Otros
1235,Deputación de Pontevedra,Pabellón Deportivo Príncipe Felipe,PONTEVEDRA,PONTEVEDRA,42.4262,-8.6145,En instalaciones deportivas
1236,Deputación de Pontevedra,ORAL Dept. Provincial Pontevedra,PONTEVEDRA,PONTEVEDRA,42.4274,-8.6518,Otros
1247,MetalShips&Docks,Portería MetalShips&Docks,VIGO,PONTEVEDRA,42.257,-8.6895,En empresa privada
1303,Concello de Agolada,Campo de fútbol,AGOLADA,PONTEVEDRA,42.7613,-8.0237,En instalaciones deportivas
1305,IES Ricardo Mella,IES Ricardo Mella (secretaría),VIGO,PONTEVEDRA,42.2176,-8.6796,En centros docentes
1316,Alcampo Vigo,Alcampo Vigo I (Coia),VIGO,PONTEVEDRA,42.2193,-8.7452,En empresa privada
1317,Alcampo Vigo,Alcampo Vigo II (Avda. Madrid),VIGO,PONTEVEDRA,42.2279,-8.7186,En empresa privada
1322,Concello de Redondela,Pabellón Deportes Chapela,REDONDELA,PONTEVEDRA,42.2666,-8.6666,En instalaciones deportivas
1333,Universidad de Vigo,Facultad de C. Educ. y Deporte,PONTEVEDRA,PONTEVEDRA,42.4413,-8.6372,En centros docentes
1339,Concello de Soutomaior,Pabellón A Montesiña,SOUTOMAIOR,PONTEVEDRA,42.3377,-8.5866,En instalaciones deportivas
